Food,Quantity,Units,Price,FDC
caribou,100.00,grams,0.00,2341325
arctic char,100.00,grams,0.00,2470085
seal,100.00,grams,0.00,167610
muktuk,100.00,grams,0.00,167624
Butter,454.00,grams,7.26,1920273
Margarine,907.00,grams,10.08,2058595
Yogurt ,650.00,grams,5.38,463067
Cheddar Cheese ,270.00,grams,8.81,2341112
Processed Sliced Cheese ,450.00,grams,8.83,2341173
Skim Milk Powder ,500.00,grams,10.96,2673399
Soda Crackers,450.00,grams,7.39,1909027
Spaghetti Noodles,900.00,grams,7.40,1909027
Macaroni and Cheese Dinner ,200.00,grams,3.08,2488350
Corn Flakes,700.00,grams,8.63,2008489
Quick Oatmeal,900.00,grams,13.22,2552985
Flour,1.00,grams,0.01,2671058
White Bread ,570.00,grams,3.61,2071641
Whole Wheat Bread,570.00,grams,3.51,2286812
Frozen Corn,750.00,grams,5.57,2345442
Carrots,1000.00,grams,6.90,2345173
Frozen Mixed Vegetables,750.00,grams,5.60,1132755
Apples ,1.00,grams,0.01,2453288
Bananas,1.00,grams,0.01,2344720
Grapes,1.00,grams,0.02,2388443
Tomatoes,1.00,grams,0.01,2543214
Onions,1.00,grams,0.01,2345315
Potatoes,2.27,grams,0.01,1864190
Peanut Butter ,1000.00,grams,11.60,2025704
Canned Luncheon Meat,340.00,grams,6.42,2341620
Canned Pink Salmon,213.00,grams,5.04,173690
Ground Beef,1000.00,grams,16.48,1942314
Pork Chops,1000.00,grams,15.93,578039
Chicken Legs or Drumsticks,1000.00,grams,10.02,2634897
Bacon,375.00,grams,9.53,2128991
Wieners,450.00,grams,5.94,2402994
Bologna,375.00,grams,6.08,2195188
Frozen Pre-Cooked Dinners,250.00,grams,7.12,2342540
Frozen Pizza,800.00,grams,13.74,2102135
Frozen French Fries,600.00,grams,5.23,2344957
Pilot Biscuits ,400.00,grams,7.07,2343285
Chocolate Bars ,50.00,grams,2.62,2071325
Potato Chips ,240.00,grams,7.09,2430813
Milk 2%,2.00,liters,3.02,1909132
UHT Milk ,1.00,liters,4.96,2214706
Apple Juice,960.00,milliliters,6.58,2103028
Orange Juice,960.00,milliliters,6.44,2098640
Tomato Juice,540.00,milliliters,9.22,2073181
Vegetable Juice,945.00,milliliters,8.29,2089573
Soft Drinks,355.00,milliliters,7.09,2287712