Age group,"Vita­min A
RE2","Vita­min D
µg3","Thia­min
mg/MJ","Riobo­flavin
mg","Niacin
NE/MJ4","Vita­min B6
mg","Folate
µg","Vita­min C
mg"
≤6 mo1,,,,0.3,,0.1,64,307
7-11 mo,250,10,0.1,0.45,1.6,0.45,90,307
CHILDREN,,,,,,,,
1-3 y,300,10,0.1,0.6,1.6,0.6,120,25
4-6 y,350,10,0.1,0.7,1.6,0.7,140,35
7-10 y,450,10,0.1,1,1.6,1,200,55
FEMALES,,,,,,,,
11-14 y,650,10,0.1,1.4,1.6,1.3,280,75
15-17 y,650,10,0.1,1.6,1.6,1.5,310,90
18-24 y,700,10,0.1,1.6,1.6,1.6,3306,95
25-50 y,700,10,0.1,1.6,1.6,1.6,3306,95
51-70 y,700,10,0.1,1.6,1.6,1.6,330,95
>70 y,650,208,0.1,1.6,1.6,1.6,330,95
Preg­nant,750,10,0.1,1.9,1.6,1.9,6006,105
Lactat­ing,1400,10,0.1,2,1.6,1.7,490,155
MALES,,,,,,,,
11-14 y,700,10,0.1,1.3,1.6,1.5,260,80
15-17 y,750,10,0.1,1.6,1.6,1.8,320,105
18-24 y,800,10,0.1,1.6,1.6,1.8,330,110
25-50 y,800,10,0.1,1.6,1.6,1.8,330,110
51-70 y,800,10,0.1,1.6,1.6,1.8,330,110
>70 y,750,208,0.1,1.6,1.6,1.7,330,110